Year,Make,Model,Price,Miles,Rating,Source
2018,Subaru,WRX,23590.0,47998,Sedan 4D,Source.CARVANA
2017,Volvo,XC90,23990.0,70665,T5 Momentum Sport Utility 4D,Source.CARVANA
2016,BMW,3 Series,19590.0,53780,328i Sedan 4D,Source.CARVANA
2016,Land Rover,Range Rover,30990.0,70747,HSE Sport Utility 4D,Source.CARVANA
2017,Mercedes-Benz,C-Class,20990.0,60305,C 300 Sedan 4D,Source.CARVANA
2019,Toyota,4Runner,32990.0,70557,SR5 Premium Sport Utility 4D,Source.CARVANA
2019,Buick,LaCrosse,21990.0,32106,Essence Sedan 4D,Source.CARVANA
2016,Chevrolet,Camaro,23990.0,39792,LT Coupe 2D,Source.CARVANA
2019,Audi,A4,21590.0,61247,Titanium Premium Sedan 4D,Source.CARVANA
2020,Jeep,Wrangler Unlimited,29590.0,52185,Sport SUV 4D,Source.CARVANA
2019,Toyota,Tacoma Double Cab,35990.0,52121,TRD Sport Pickup 4D 5 ft,Source.CARVANA
2019,Lexus,ES,28990.0,57527,ES 350 Sedan 4D,Source.CARVANA
2016,Mercedes-Benz,E-Class,22990.0,55042,E 350 4MATIC Sedan 4D,Source.CARVANA
2021,Nissan,Titan Crew Cab,40590.0,38379,PRO-4X Pickup 4D 5 1/2 ft,Source.CARVANA
2017,Volkswagen,Golf Alltrack,22590.0,39657,TSI SE Wagon 4D,Source.CARVANA
2016,Volkswagen,Golf,16590.0,55939,TSI S Hatchback Sedan 4D,Source.CARVANA
2018,Audi,Q5,23990.0,58028,Premium Plus Sport Utility 4D,Source.CARVANA
2014,Lexus,IS,19990.0,90374,IS 250 Sedan 4D,Source.CARVANA
2022,Hyundai,Tucson Plug-in Hybrid,31990.0,47227,Limited Sport Utility 4D,Source.CARVANA
2019,Land Rover,Range Rover Sport,45590.0,27583,HSE (2019.5) Sport Utility 4D,Source.CARVANA
2016,BMW,X1,20590.0,59848,xDrive28i Sport Utility 4D,Source.CARVANA
2015,Audi,A6,19990.0,76690,3.0T Premium Plus Sedan 4D,Source.CARVANA
2020,Lexus,RX,35990.0,36643,RX 350 Sport Utility 4D,Source.CARVANA
2017,Honda,Civic,24990.0,26390,Sport Touring Hatchback 4D,Source.CARVANA
2020,Volkswagen,Tiguan,25990.0,36604,SE R-Line Black 4MOTION Sport Utility 4D,Source.CARVANA
2018,Chevrolet,Colorado Crew Cab,33590.0,55375,ZR2 Pickup 4D 5 ft,Source.CARVANA
2023,Land Rover,Defender 110,65590.0,33021,SE Sport Utility 4D,Source.CARVANA
2023,Chevrolet,Malibu,23990.0,27442,RS Sedan 4D,Source.CARVANA
