Year,Make,Model,Price,Miles,Rating,Source
2021,Kia,Seltos SX 1.6T AWD,21000,37000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Rogue SL FWD,25999,46000,Great Price,Source.CAR_AND_DRIVER
2020,Mazda,Mazda6 Sport Automatic,17000,55000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mazda,Mazda3 2.5 Turbo Premium Plus 4-Door AWD,25000,16000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ram,"1500 Classic Tradesman Regular Cab 6'4"" Box 2WD",19981,49000,Great Price,Source.CAR_AND_DRIVER
2021,Nissan,Armada SL 2WD,28359,77000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Rogue 2023.5 SL FWD,29991,9000,Great Price,Source.CAR_AND_DRIVER
2022,Ford,Escape SE FWD,21777,21000,Great Price,Source.CAR_AND_DRIVER
2021,Jeep,Grand Cherokee WK Limited RWD,24972,66000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chevrolet,Equinox LT with 1LT AWD,19826,49000,Great Price,Source.CAR_AND_DRIVER
2022,Chrysler,Pacifica Touring L FWD,26998,59000,Great Price,Source.CAR_AND_DRIVER
2023,Kia,Sportage LX AWD,20500,57000,Excellent Price,Source.CAR_AND_DRIVER
2022,Kia,Sportage LX FWD,18860,27000,Excellent Price,Source.CAR_AND_DRIVER
2022,Ford,F-150 XL Regular Cab 8' Box 2WD,25900,34000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Cherokee Limited 4WD,26998,21000,Great Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-30 Premium FWD,23333,38000,Great Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-30 Premium FWD,21857,51000,Great Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,18900,51000,Great Price,Source.CAR_AND_DRIVER
2020,Hyundai,Sonata SEL,22998,22000,Great Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.5 SR FWD,24922,8000,Great Price,Source.CAR_AND_DRIVER
2023,Hyundai,Elantra Hybrid Limited DCT,24998,10,Great Price,Source.CAR_AND_DRIVER
2021,Jeep,Compass Latitude FWD,18888,59000,Great Price,Source.CAR_AND_DRIVER
2021,Romeo,Stelvio Ti AWD,26995,35000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jeep,Grand Cherokee Limited X 4WD,24782,83000,Great Price,Source.CAR_AND_DRIVER
2022,Toyota,Corolla LE CVT,17750,62000,Great Price,Source.CAR_AND_DRIVER
2020,Dodge,Journey Crossroad FWD,18368,62000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Rogue SL AWD,27998,27000,Great Price,Source.CAR_AND_DRIVER
